year,primary_type,crime_family,crime_count,arrest_rate,domestic_rate,crime_share_pct,yoy_change_pct,rank_in_year
2026,OBSCENITY,Other,7,0.2857142857142857,0.2857142857142857,0.02540927075392936,-87.03703703703704,26
2026,PUBLIC INDECENCY,Other,6,1.0,0.0,0.021779374931939453,-40.0,27
2026,HUMAN TRAFFICKING,Other,5,0.0,0.0,0.018149479109949542,-66.66666666666666,28
2025,THEFT,Property,55025,0.08941390277146752,0.05117673784643344,23.263138758651014,-0.6715165081141579,1
2025,BATTERY,Violent,42531,0.1904022947967365,0.5310714537631375,17.981000536922966,0.6960721642162085,2
2025,CRIMINAL DAMAGE,Other,26204,0.043046863074339796,0.13921538696382232,11.078369614387844,0.35232843137254904,3
2025,ASSAULT,Violent,21558,0.12408386677799425,0.2859263382503015,9.114161660318011,0.442622187019522,4
2025,MOTOR VEHICLE THEFT,Other,17228,0.033550034827025774,0.0211864406779661,7.283550286852152,-12.254252826729143,5
2025,OTHER OFFENSE,Other,16734,0.20240229472929366,0.35699772917413647,7.074699936161127,8.959499934887354,6
2025,DECEPTIVE PRACTICE,Other,14698,0.030140155123146006,0.016328752211185196,6.213932094041846,0.9339376459277573,7
2025,BURGLARY,Other,9707,0.04707942721747193,0.031832698052951476,4.103867113679698,24.73657157543048,8
2025,NARCOTICS,Drug,7417,0.9480922205743562,0.001483079412161251,3.135714678290133,38.557818045955536,9
2025,ROBBERY,Violent,5817,0.09386281588447654,0.03592917311328864,2.4592762954851963,-29.59331880900508,10
2025,WEAPONS VIOLATION,Other,5444,0.7771858927259369,0.011756061719324026,2.301581597493796,-23.49634626194491,11
2025,CRIMINAL TRESPASS,Other,5322,0.31548290116497557,0.07591131153701616,2.250003170804919,17.639257294429708,12
2025,CRIMINAL SEXUAL ASSAULT,Other,1670,0.027544910179640718,0.20419161676646708,0.7060325620526523,14.855570839064649,13
2025,OFFENSE INVOLVING CHILDREN,Other,1534,0.0710560625814863,0.7555410691003911,0.6485352995142327,2.2666666666666666,14
2025,SEX OFFENSE,Other,1306,0.08346094946401225,0.2327718223583461,0.5521428299645293,14.964788732394366,15
2025,PUBLIC PEACE VIOLATION,Other,1056,0.5066287878787878,0.03125,0.44644933265125797,13.915857605177994,16
2025,INTERFERENCE WITH PUBLIC OFFICER,Other,915,0.9158469945355191,0.022950819672131147,0.38683820016657294,43.64207221350079,17
